Wavelength (nm),Transmission
352.3449756,1.664746118
356.4751048,1.579244487
359.7653476,3.860416067
360.3873423,5.402523509
361.7629427,7.186494767
362.692776,9.276744131
362.9332297,10.36355197
363.6384026,12.48155249
364.1256273,15.10099176
364.1082546,13.87497686
364.9184533,18.1106771
364.7468322,16.58737126
365.797353,21.90059133
365.7728733,20.17302488
366.964218,24.83616075
366.7173154,23.29424132
367.4390713,26.5825288
368.3756167,29.14646574
368.3582441,27.92045084
369.3279555,32.82496168
369.3105828,31.59894678
369.2939998,30.42865983
370.7339582,36.75445901
370.2522611,34.52511539
371.6791899,39.9314034
371.204205,38.17574735
372.6256062,43.19193971
372.1502265,41.40841969
373.0978272,44.75254793
374.4763231,46.740855
374.7182246,47.92983075
375.6539803,50.43803974
375.6373973,49.26775279
376.8197925,53.29930522
376.5739427,51.83168973
377.3051747,55.7887126
377.287802,54.5626977
378.2417201,58.35264954
378.2243474,57.12663464
379.3159308,60.04359047
380.549128,62.36619004
381.021349,63.92679826
381.9578944,66.4907352
381.9405218,65.2647203
383.1913548,68.83191075
384.2787267,71.45165084
384.7485787,72.84507521
385.9005059,74.72645757
387.5005693,76.46874568
388.8765646,78.28058091
390.2561133,80.34319192
390.7216222,81.43011256
392.0956433,83.10262792
393.9213541,84.8868248
394.8431591,86.41050667
395.0813754,87.33941865
396.000943,88.70520466
397.1489877,90.31259127
399.2739824,92.04121061
400.7930391,93.36085749
402.6171705,95.03359846
404.8874641,96.42792531
407.0408868,97.51569203
411.3995345,98.5822731
416.1710202,98.60695584
421.4782163,98.31983281
425.8361532,97.74802343
429.642218,96.34745445
431.8771081,95.24331154
434.1051544,93.65619306
436.3401761,92.56133814
439.92137,91.17365954
443.5039327,89.88257605
445.6254134,88.71614719
447.970133,87.42165686
449.7460948,85.69499288
450.8476807,84.02371843
452.3949022,82.03687788
453.9487042,80.51443691
455.0455521,78.50879476
455.9224777,76.86527148
456.8001929,75.27747614
457.6771184,73.63395285
459.0088923,72.32502289
460.3394817,70.93250099
461.2179866,69.40043361
461.8714363,67.86825341
462.7511257,66.41977795
463.6286435,64.81805062
464.2807113,63.18834652
465.6109058,61.76796065
466.9280709,59.42806361
467.799074,57.36658069
468.6716563,55.41655368
469.5406852,53.2157509
470.4132676,51.26572388
471.5182096,49.83129322
472.8353746,47.49139618
473.4815199,45.44373244
474.3537074,43.46584146
475.2270795,41.5715424
476.101636,39.76083526
477.4318306,38.34044939
478.3087562,36.69692611
478.73873,35.276089
479.6152607,33.60470174
480.4854741,31.48749088
481.1314219,29.42589515
482.0063733,27.64305199
483.1115127,26.22255332
484.4310468,24.04984012
485.3150793,22.90786839
486.6409308,21.18097879
488.1189247,19.60277228
490.1970659,18.02486658
491.7502757,16.46062965
493.2986158,14.55273703
495.0741828,12.79820908
496.8568567,11.54523269
498.6347927,9.957888588
500.6388367,8.444961233
502.6482767,7.312841536
504.8772443,5.790738999
507.5576384,4.361741998
510.0903647,3.09985364
514.8523594,1.849697482
520.0021042,1.11488385
525.1587962,0.618242652
530.2297765,0.249267469
535.407625,0.36331799
540.354101,0.031432101
545.3045254,-0.021814037
550.2557394,-0.019332226
555.2069534,-0.016850414
560.1581674,-0.014368602
565.1093815,-0.011886791
568.4852092,-0.010194647
678.087155,0.049809813
682.3632304,0.053853012
692.0405045,0.051737832
696.5416959,0.060186019
788.3645175,0.127884323
795.2659466,0.112767834
800.9672129,0.106337686
807.268758,0.109496355
812.2199721,0.111978167
817.1711861,0.114459978
822.1224001,0.11694179
827.0736141,0.119423601
832.0248281,0.121905413
836.9760422,0.124387224
841.9272562,0.126869036
846.8784702,0.129350848
851.8296842,0.131832659
856.7808982,0.134314471
861.7321123,0.136796282
866.6833263,0.139278094
871.6345403,0.141759905
876.5857543,0.144241717
881.5369683,0.146723528
886.4881824,0.14920534
891.4393964,0.151687151
896.3906104,0.154168963
901.3418244,0.156650774
906.2930384,0.159132586
911.2442525,0.161614398
916.1954665,0.164096209
921.1466805,0.166578021
926.0978945,0.169059832
931.0491085,0.171541644
936.0003226,0.174023455
940.9515366,0.176505267
945.9027506,0.178987078
950.8539646,0.18146889
955.8051786,0.183950701
960.7563926,0.186432513
965.7076067,0.188914324
970.6588207,0.191396136
975.6100347,0.193877948
980.5612487,0.196359759
985.5124627,0.198841571
990.4636768,0.201323382
995.4148908,0.203805194
1000.366105,0.206287005
1005.317319,0.208768817
1010.268533,0.211250628
1015.219747,0.21373244
1020.170961,0.216214251
1025.122175,0.218696063
1030.073389,0.221177874
1035.024603,0.223659686
1039.975817,0.226141498
1044.927031,0.228623309
1048.078067,0.248778627
